"","Judge.Identification.Number","Judge.Last.Name","Judge.First.Name","Judge.Middle.Name","Birth.year","Place.of.Birth..City.","Place.of.Birth..State.","Gender","Race.or.Ethnicity","Name.of.School","place","name","decade","lon","lat"
"176",688,"Edgerton","Henry","White",1888,"Rush Center","KS","M","White","Cornell University","Rush Center, KS","Edgerton, Henry",1880,-99.3101052,38.4652912
"177",694,"Egan","Thomas","C.",1894,"Shenandoah","PA","M","White","Georgetown College (now Georgetown University)","Shenandoah, PA","Egan, Thomas",1890,-76.2007734,40.8203658
"178",696,"Eicher","Edward","Clayton",1878,"Noble","IA","M","White","University of Chicago","Noble, IA","Eicher, Edward",1870,-94.9974461,41.1927571
"179",3301,"Ekwall","William","Alexander",1887,"Ludington","MI","M","White","University of Oregon School of Law","Ludington, MI","Ekwall, William",1880,-86.4525831,43.9552825
"180",699,"Elliott","James","Douglas",1859,"Mt. Sterling","IL","M","White","Read law","Mt. Sterling, IL","Elliott, James",1850,-90.763463,39.9872707
"181",709,"English","George","Washington",1866,"near Vienna","IL","M","White","Illinois Wesleyan University Law School","near Vienna, IL","English, George",1860,-88.8978434,37.4153295
"182",712,"Erskine","Herbert","Wilson",1888,"San Francisco","CA","M","White","University of California, Berkeley","San Francisco, CA","Erskine, Herbert",1880,-122.4194155,37.7749295
"183",714,"Ervin","Robert","Tait",1863,"Wilcox County","AL","M","White","University of Alabama School of Law","Wilcox County, AL","Ervin, Robert",1860,-87.3413599,32.0105439
"184",719,"Estes","William","Lee",1870,"Boston","TX","M","White","Hampden-Sydney College","Boston, TX","Estes, William",1870,-94.4154787,33.4598415
"185",721,"Evans","Beverly","Daniel",1865,"Sandersville","GA","M","White","Mercer University","Sandersville, GA","Evans, Beverly",1860,-82.810138,32.9815431
"186",722,"Evans","Evan","Alfred",1876,"Spring Green","WI","M","White","University of Wisconsin","Spring Green, WI","Evans, Evan",1870,-90.0679016,43.1752695
"187",3302,"Evans","Walter","Howard",1870,"New Middletown","IN","M","White","Northern Indiana Normal School (now Valparaiso University)","New Middletown, IN","Evans, Walter",1870,-86.0508016,38.1639583
"188",730,"Fahy","Charles"," ",1892,"Rome","GA","M","White","Georgetown College Law School (now Georgetown University Law Center)","Rome, GA","Fahy, Charles",1890,-85.1646726,34.257038
"189",732,"Fake","Guy","Leverne",1879,"Cobleskill","NY","M","White","New York University School of Law","Cobleskill, NY","Fake, Guy",1870,-74.4854172,42.677853
"190",734,"Faris","Charles","Breckenridge",1864,"near Charleston","MO","M","White","University of Missouri","near Charleston, MO","Faris, Charles",1860,-89.350631,36.9208854
"191",736,"Farrington","Edward","Silsby",1856,"Yreka","CA","M","White","Amherst College","Yreka, CA","Farrington, Edward",1850,-122.6344708,41.7354186
"192",740,"Fee","James","Alger",1888,"Pendleton","OR","M","White","Whitman College","Pendleton, OR","Fee, James",1880,-118.7885967,45.672075
"193",755,"Finnegan","Philip","J.",1886,"Chicago","IL","M","White","University of Chicago Law School","Chicago, IL","Finnegan, Philip",1880,-87.6297982,41.8781136
"194",3304,"Fischer","Israel","Fredrick",1858,"New York","NY","M","White","Read law","New York, NY","Fischer, Israel",1850,-74.0059413,40.7127837
"195",763,"FitzHenry","Louis"," ",1870,"Bloomington","IL","M","White","Illinois Wesleyan University Law School","Bloomington, IL","FitzHenry, Louis",1870,-88.9936873,40.4842027
"196",772,"Foley","Roger","Thomas",1886,"Sioux City","IA","M","White","University of Chicago Law School","Sioux City, IA","Foley, Roger",1880,-96.4003069,42.4999942
"197",773,"Follmer","Frederick","Voris",1885,"Milton","PA","M","White","Bucknell University","Milton, PA","Follmer, Frederick",1880,-76.8477412,41.0120296
"198",776,"Ford","Francis","Joseph William",1882,"Boston","MA","M","White","Harvard College","Boston, MA","Ford, Francis",1880,-71.0597732,42.3584308
"199",777,"Ford","Hiram","Church",1884,"Scott County","KY","M","White","Georgetown College, Kentucky","Scott County, KY","Ford, Hiram",1880,-84.564147,38.3172361
"200",781,"Forman","Phillip"," ",1895,"New York","NY","M","White","Temple University School of Law","New York, NY","Forman, Phillip",1890,-74.0059413,40.7127837
"201",785,"Foster","Rufus","Edward",1871,"Mathews County","VA","M","White","Tulane University Law School","Mathews County, VA","Foster, Rufus",1870,-76.317414,37.3912302
"202",789,"Frank","Jerome","New",1889,"New York","NY","M","White","University of Chicago","New York, NY","Frank, Jerome",1880,-74.0059413,40.7127837
"203",791,"Frankfurter","Felix"," ",1882,"Vienna","Austria","M","White","City College of New York","Vienna, Austria","Frankfurter, Felix",1880,16.3738189,48.2081743
"204",793,"Freed","Emerich","B.",1897," ","Hungary","M","White","Western Reserve University (now Case Western Reserve University)"," , Hungary","Freed, Emerich",1890,19.503304,47.162494
"205",2708,"Friedman","Monroe","Mark",1895,"Minneapolis","MN","M","White","University of California, Berkeley","Minneapolis, MN","Friedman, Monroe",1890,-93.26667,44.983334
"206",813,"Galston","Clarence","G.",1876,"New York","NY","M","White","City College of New York","New York, NY","Galston, Clarence",1870,-74.0059413,40.7127837
"207",814,"Ganey","James","Cullen",1899,"Phillipsburg","NJ","M","White","Lehigh University","Phillipsburg, NJ","Ganey, James",1890,-75.1901761,40.6937099
"208",819,"Gardner","Archibald","K.",1867,"Gwen Sound","Canada","M","White","University of Iowa","Gwen Sound, Canada","Gardner, Archibald",1860,,
"209",821,"Garrecht","Francis","Arthur",1870,"Walla Walla","WA","M","White","Read law","Walla Walla, WA","Garrecht, Francis",1870,-118.3430209,46.0645809
"210",3327,"Garrett","Finis","James",1875,"near Ore Springs","TN","M","White","Bethel College","near Ore Springs, TN","Garrett, Finis",1870,-88.5781079,36.294783
"211",824,"Garvin","Edwin","Louis",1877,"Brooklyn","NY","M","White","New York University","Brooklyn, NY","Garvin, Edwin",1870,-73.9441579,40.6781784
"212",833,"Geiger","Ferdinand","August",1867,"Cassville","WI","M","White",,"Cassville, WI","Geiger, Ferdinand",1860,-90.9906836,42.7144374
"213",851,"Gibson","Robert","Murray",1869,"Duncansville","PA","M","White","Washington and Jefferson College","Duncansville, PA","Gibson, Robert",1860,-78.433903,40.4234058
"214",859,"Gilliam","Donnell"," ",1889,"Tarboro","NC","M","White","University of North Carolina","Tarboro, NC","Gilliam, Donnell",1880,-77.5358049,35.8968236
"215",870,"Glenn","John","Lyles",1892,"Chester","SC","M","White","Wofford College","Chester, SC","Glenn, John",1890,-81.2142561,34.7048613
"216",872,"Goddard","Henry","Warren",1876,"New York","NY","M","White","New York Law School","New York, NY","Goddard, Henry",1870,-74.0059413,40.7127837
"217",878,"Goldsborough","Thomas","Alan",1877,"Caroline County","MD","M","White","Washington College, Chestertown, Maryland","Caroline County, MD","Goldsborough, Thomas",1870,-75.8533954,38.9105018
"218",881,"Goodman","Louis","Earl",1892,"Lemoore","CA","M","White","University of California, Berkeley","Lemoore, CA","Goodman, Louis",1890,-119.7829107,36.3007835
"219",882,"Goodrich","Herbert","Funk",1889,"Anoka","MN","M","White","Carleton College","Anoka, MN","Goodrich, Herbert",1880,-93.3871758,45.1977428
"220",891,"Gordon","Peyton"," ",1870,"Washington","DC","M","White","Columbian University School of Law (now George Washington University Law School)","Washington, DC","Gordon, Peyton",1870,-77.0368707,38.9071923
"221",892,"Gore","John","J.",1878,"Gainsboro","TN","M","White","Read law","Gainsboro, TN","Gore, John",1870,-85.6588665,36.3556149
"222",895,"Gould","Ashley","Mulgrave",1859,"Lower Horton, Nova Scotia","Canada","M","White","Amherst College","Lower Horton, Nova Scotia, Canada","Gould, Ashley",1850,-64.3684805,45.0888537
"223",3243,"Graham","Samuel","Jordan",1859,"Lexington","VA","M","White","Washington and Lee University","Lexington, VA","Graham, Samuel",1850,-79.4428157,37.7840208
"224",3325,"Graham","William","Johnson",1872,"New Castle","PA","M","White","University of Illinois","New Castle, PA","Graham, William",1870,-80.347009,41.0036719
"225",901,"Graven","Henry","Norman",1893,"St. James","MN","M","White","University of Minnesota","St. James, MN","Graven, Henry",1890,-94.6283192,43.9820734
"226",3242,"Green","William","Raymond",1856,"Colchester","CT","M","White","Oberlin College","Colchester, CT","Green, William",1850,-72.3320051,41.5756728
"227",921,"Groner","Duncan","Lawrence",1873,"Norfolk","VA","M","White","Washington and Lee University","Norfolk, VA","Groner, Duncan",1870,-76.2858726,36.8507689
"228",923,"Grosscup","Peter","Stenger",1852,"Ashland","OH","M","White","Wittenberg College","Ashland, OH","Grosscup, Peter",1850,-82.3182178,40.8686675
"229",924,"Grubb","Kenneth","Philip",1895,"Mauston","WI","M","White","University of Wisconsin Law School","Mauston, WI","Grubb, Kenneth",1890,-90.0773495,43.7971946
"230",925,"Grubb","William","Irwin",1862,"Cincinnati","OH","M","White","Yale College","Cincinnati, OH","Grubb, William",1860,-84.5120196,39.1031182
"231",937,"Hahn","George","Philip",1879,"Napoleon","OH","M","White","Ohio State University College of Law","Napoleon, OH","Hahn, George",1870,-84.1252243,41.3922726
"232",940,"Haight","Thomas","Griffith",1879,"Freehold","NJ","M","White","Princeton University","Freehold, NJ","Haight, Thomas",1870,-74.299051,40.224382
"233",948,"Hall","Peirson","Mitchell",1894,"Armour","SD","M","White","University of Southern California Law School","Armour, SD","Hall, Peirson",1890,-98.3467455,43.3186012
"234",958,"Hamilton","Elwood"," ",1883,"Benson","KY","M","White","University of Louisville Law Department","Benson, KY","Hamilton, Elwood",1880,-88.350315,36.8572781
"235",961,"Hamlin","Oliver","Deveta",1892,"Oakland","CA","M","White","University of California, Berkeley","Oakland, CA","Hamlin, Oliver",1890,-122.2711137,37.8043637
"236",964,"Hand","Augustus","Noble",1869,"Elizabethtown","NY","M","White","Harvard College","Elizabethtown, NY","Hand, Augustus",1860,-73.5904478,44.2163337
"237",965,"Hand","Learned"," ",1872,"Albany","NY","M","White","Harvard College","Albany, NY","Hand, Learned",1870,-73.7562317,42.6525793
"238",967,"Haney","Bert","Emory",1879,"Lafayette","OR","M","White","University of Oregon School of Law","Lafayette, OR","Haney, Bert",1870,-123.1148259,45.2442834
"239",970,"Hannay","Allen","Burroughs",1892,"Hempstead","TX","M","White","University of Texas School of Law","Hempstead, TX","Hannay, Allen",1890,-96.0782918,30.0974405
"240",979,"Harlan","John","Marshall",1899,"Chicago","IL","M","White","Princeton University","Chicago, IL","Harlan, John",1890,-87.6297982,41.8781136
"241",987,"Harrison","Benjamin"," ",1888,"San Bernardino","CA","M","White","Read law","San Bernardino, CA","Harrison, Benjamin",1880,-117.2897652,34.1083449
"242",990,"Hartigan","John","Patrick",1887,"Providence","RI","M","White","Brown University","Providence, RI","Hartigan, John",1880,-71.4128343,41.8239891
"243",991,"Hartshorne","Richard"," ",1888,"Newark","NJ","M","White","Princeton University","Newark, NJ","Hartshorne, Richard",1880,-74.1723667,40.735657
"244",997,"Hastings","John","Simpson",1898,"Washington","IN","M","White","U.S. Military Academy","Washington, IN","Hastings, John",1890,-87.172789,38.6592152
"245",998,"Hatch","Carl","A.",1889,"Kirwan","KS","M","White","Cumberland School of Law","Kirwan, KS","Hatch, Carl",1880,-96.7835196,39.0890134
"246",3322,"Hatfield","Charles","Sherrod",1882,"West Millgrove","OH","M","White","Hanover College","West Millgrove, OH","Hatfield, Charles",1880,-83.491317,41.2439416
"247",3245,"Hay","James"," ",1856,"Millwood","VA","M","White","University of Pennsylvania","Millwood, VA","Hay, James",1850,-78.0377754,39.069551
"248",1007,"Hayes","Johnson","Jay",1886,"Purlear","NC","M","White","Wake Forest College School of Law","Purlear, NC","Hayes, Johnson",1880,-81.2842576,36.1820751
"249",1011,"Hazel","John","Raymond",1860,"Buffalo","NY","M","White","Read law","Buffalo, NY","Hazel, John",1860,-78.8783689,42.8864468
"250",1013,"Healey","Arthur","Daniel",1889,"Somerville","MA","M","White","Boston University School of Law","Somerville, MA","Healey, Arthur",1880,-71.0994968,42.3875968
"251",1014,"Healy","William"," ",1881,"Windham","IA","M","White","University of Iowa","Windham, IA","Healy, William",1880,-91.7621164,41.6089026
"252",1019,"Helvering","Guy","Tresillian",1878,"Felicity","OH","M","White","University of Michigan Law School","Felicity, OH","Helvering, Guy",1870,-84.096321,38.8389576
"253",2693,"Henderson","David","Ezekiel",1879,"Deppe","NC","M","White","University of North Carolina","Deppe, NC","Henderson, David",1870,-77.2824568,34.8484937
"254",1027,"Henning","Edward","J.",1868,"Iron Ridge","WI","M","White","University of Wisconsin","Iron Ridge, WI","Henning, Edward",1860,-88.5326008,43.3997196
"255",1034,"Hickenlooper","Smith"," ",1880,"Cincinnati","OH","M","White","University of Cincinnati","Cincinnati, OH","Hickenlooper, Smith",1880,-84.5120196,39.1031182
"256",1036,"Hicklin","Edwin","Richley",1895,"Wapello","IA","M","White","Drake University","Wapello, IA","Hicklin, Edwin",1890,-91.1854273,41.1814193
"257",1037,"Hicks","Xenophon"," ",1872,"Clinton","TN","M","White","U.S. Grant University (now Tennessee Wesleyan College)","Clinton, TN","Hicks, Xenophon",1870,-84.1318632,36.1034126
"258",1052,"Hincks","Carroll","Clark",1889,"Andover","MA","M","White","Yale University","Andover, MA","Hincks, Carroll",1880,-71.1367953,42.6583356
"259",1057,"Hitz","William"," ",1872,"Washington","DC","M","White","Harvard College","Washington, DC","Hitz, William",1870,-77.0368707,38.9071923
"260",1060,"Hodge","Walter","Hartman",1896,"Auburn","IN","M","White","University of Washington School of Law","Auburn, IN","Hodge, Walter",1890,-85.0588575,41.3669942
"261",1062,"Hoehling","Adolph","A.",1868,"Philadelphia","PA","M","White","Columbian University School of Law (now George Washington University Law School)","Philadelphia, PA","Hoehling, Adolph",1860,-75.163789,39.952335
"262",1064,"Hoffman","Julius","Jennings",1895,"Chicago","IL","M","White","Northwestern University","Chicago, IL","Hoffman, Julius",1890,-87.6297982,41.8781136
"263",1074,"Holland","James","Buchanan",1857,"Gwynedd Township","PA","M","White","Read law","Gwynedd Township, PA","Holland, James",1850,-75.273396,40.1824261
"264",1075,"Holland","John","Warthen",1883,"Jackson","TN","M","White","Southwestern Baptist University (now Union University, Jackson, Tennessee)","Jackson, TN","Holland, John",1880,-88.8139469,35.6145169
"265",1076,"Hollister","Howard","Clark",1856,"Cincinnati","OH","M","White","Yale College","Cincinnati, OH","Hollister, Howard",1850,-84.5120196,39.1031182
"266",1078,"Holly","William","Harrison",1869,"Bellefonte","PA","M","White","Read law","Bellefonte, PA","Holly, William",1860,-77.7783348,40.9133943
"267",1079,"Hollzer","Harry","Aaron",1880,"New York","NY","M","White","University of California, Berkeley","New York, NY","Hollzer, Harry",1880,-74.0059413,40.7127837
"268",1081,"Holmes","Edwin","Ruthven",1878,"Sidon","MS","M","White","Millsaps College","Sidon, MS","Holmes, Edwin",1870,-90.208889,33.408056
"269",1086,"Holtzoff","Alexander"," ",1886,"New York","NY","M","White","Columbia University","New York, NY","Holtzoff, Alexander",1880,-74.0059413,40.7127837
"270",1089,"Hook","William","Cather",1857,"Waynesburg","PA","M","White","Washington University School of Law","Waynesburg, PA","Hook, William",1850,-80.1792299,39.8964641
"271",1090,"Hooper","Frank","Arthur",1895,"Americus","GA","M","White","Georgia School of Technology (now Georgia Institute of Technology)","Americus, GA","Hooper, Frank",1890,-84.2326876,32.0723861
"272",1092,"Hopkins","Richard","Joseph",1873,"Jefferson City","MO","M","White","Northwestern University School of Law","Jefferson City, MO","Hopkins, Richard",1870,-92.1735164,38.5767017
"273",1098,"Hough","Benson","W.",1875,"Delaware","OH","M","White","Ohio Wesleyan University","Delaware, OH","Hough, Benson",1870,-83.067965,40.2986724
"274",1099,"Hough","Charles","Merrill",1858,"Philadelphia","PA","M","White","Dartmouth College","Philadelphia, PA","Hough, Charles",1850,-75.163789,39.952335
"275",2715,"Howard","Clinton","Woodbury",1864,"Lima","OH","M","White","Griswold College, Davenport, Iowa","Lima, OH","Howard, Clinton",1860,-84.1052256,40.742551
"276",1105,"Howe","Harland","Bradley",1873,"St. Johnsbury","VT","M","White","University of Michigan Law School","St. Johnsbury, VT","Howe, Harland",1870,-72.0151183,44.4192627
"277",3306,"Howell","William","Barberie",1865,"Freehold","NJ","M","White","Spencerian Business College","Freehold, NJ","Howell, William",1860,-74.299051,40.224382
"278",1113,"Hughes","Charles","Evans",1862,"Glens Falls","NY","M","White","Brown University","Glens Falls, NY","Hughes, Charles",1860,-73.6440058,43.3095164
"279",1116,"Hughes","Sarah","Tilghman",1896,"Baltimore","MD","F","White","Goucher College","Baltimore, MD","Hughes, Sarah",1890,-76.6121893,39.2903848
"280",1117,"Hulbert","George","Murray",1881,"Rochester","NY","M","White","New York University School of Law","Rochester, NY","Hulbert, George",1880,-77.6109219,43.16103
"281",1118,"Hulen","Rubey","Mosley",1894,"Hallsville","MO","M","White","Kansas City School of Law (now University of Missouri-Kansas City School of Law)","Hallsville, MO","Hulen, Rubey",1890,-92.220735,39.1169851
"282",1121,"Humphrey","J.","Otis",1850,"Morgan County","IL","M","White","Shurtleff College, Alton, Illinois","Morgan County, IL","Humphrey, J.",1850,-90.2244662,39.7341219
"283",2713,"Hundley","Oscar","Richard",1855,"Limestone County","AL","M","White","Vanderbilt University Law School","Limestone County, AL","Hundley, Oscar",1850,-86.9423801,34.7800072
"284",1126,"Hunt","William","Henry",1857,"New Orleans","LA","M","White","Read law","New Orleans, LA","Hunt, William",1850,-90.0715323,29.9510658
"285",1135,"Hutcheson","Charles","Sterling",1894,"Mecklenburg County","VA","M","White","College of William and Mary","Mecklenburg County, VA","Hutcheson, Charles",1890,-78.3842227,36.6421724
"286",1136,"Hutcheson","Joseph","Chappell",1879,"Houston","TX","M","White","University of Texas School of Law","Houston, TX","Hutcheson, Joseph",1870,-95.3693896,29.7601927
"287",1139,"Huxman","Walter","August",1887,"Pretty Prairie","KS","M","White","University of Kansas School of Law","Pretty Prairie, KS","Huxman, Walter",1880,-98.0197792,37.7800135
"288",1142,"Igoe","Michael","Lambert",1885,"St. Paul","MN","M","White","Georgetown College Law School (now Georgetown University Law Center)","St. Paul, MN","Igoe, Michael",1880,-93.0899578,44.9537029
"289",1144,"Inch","Robert","Alexander",1873,"Providence","RI","M","White","College of New Jersey (now Princeton University)","Providence, RI","Inch, Robert",1870,-71.4128343,41.8239891
"290",1153,"Jack","George","Whitfield",1875,"Natchitoches","LA","M","White","Tulane University Law School","Natchitoches, LA","Jack, George",1870,-93.0862749,31.7607195
"291",3320,"Jackson","Joseph","Raymond",1880,"Albany","NY","M","White","Manhattan College","Albany, NY","Jackson, Joseph",1880,-73.7562317,42.6525793
"292",1160,"Jackson","Robert","Houghwout",1892,"Spring Creek","PA","M","White","Albany Law School","Spring Creek, PA","Jackson, Robert",1890,-79.5253283,41.8758904
"293",1163,"Jacobs","Fred","Clinton",1865,"Winchester","MA","M","White","University of Chicago","Winchester, MA","Jacobs, Fred",1860,-71.1369959,42.452303
"294",1165,"James","William","P.",1870,"Buffalo","NY","M","White",,"Buffalo, NY","James, William",1870,-78.8783689,42.8864468
"295",1166,"Jameson","William","James",1898,"Butte","MT","M","White","University of Montana","Butte, MT","Jameson, William",1890,-112.5347776,46.0038232
"296",1171,"Jenney","Ralph","E.",1883,"Detroit","MI","M","White","University of Michigan","Detroit, MI","Jenney, Ralph",1880,-83.0457538,42.331427
"297",1173,"Jertberg","Gilbert","H.",1897,"Springfield","MO","M","White","Stanford University","Springfield, MO","Jertberg, Gilbert",1890,-93.2922989,37.2089572
"298",1174,"Johnsen","Harvey","M.",1895,"Hastings","NE","M","White","University of Nebraska College of Law","Hastings, NE","Johnsen, Harvey",1890,-98.3898726,40.5862583
"299",1176,"Johnson","Albert","Williams",1872,"Weikert","PA","M","White","Bucknell University","Weikert, PA","Johnson, Albert",1870,-77.29526,40.858407
"300",1179,"Johnson","Charles","Fletcher",1859,"Winslow","ME","M","White","Bowdoin College","Winslow, ME","Johnson, Charles",1850,-69.6203137,44.5459679
"301",1181,"Johnson","George","E. Q.",1874,"Harcourt","IA","M","White","Tobin College, Fort Dodge, Iowa","Harcourt, IA","Johnson, George",1870,-94.1757943,42.2627534
"302",3321,"Johnson","Jed","Joseph",1888,"Waxahachi","TX","M","White","University of Oklahoma College of Law","Waxahachi, TX","Johnson, Jed",1880,-96.8483311,32.3865312
"303",1182,"Johnson","Joseph","Travis",1858,"Brewerton","SC","M","White","Erskine College","Brewerton, SC","Johnson, Joseph",1850,-82.2401171,34.4306734
"304",3317,"Johnson","Noble","Jacob",1887,"Terre Haute","IN","M","White","Read law","Terre Haute, IN","Johnson, Noble",1880,-87.4139092,39.4667034
"305",1187,"Johnson","Tillman","Davis",1858,"Rutherford County","TN","M","White","Cumberland University","Rutherford County, TN","Johnson, Tillman",1850,-86.3376761,35.7724263
"306",1193,"Jones","Charles","Alvin",1887,"Newport","PA","M","White","Dickinson School of Law","Newport, PA","Jones, Charles",1880,-77.1305373,40.4778612
"307",3272,"Jones","John","Marvin",1886,"Valley View","TX","M","White","John B. Denton College, Denton, Texas","Valley View, TX","Jones, John",1880,-97.1650128,33.4881671
"308",1198,"Jones","Lake"," ",1867,"Vicksburg","MS","M","White","Northwestern University School of Law","Vicksburg, MS","Jones, Lake",1860,-90.877882,32.3526456
"309",1202,"Jones","Paul","J.",1880,"Youngstown","OH","M","White","University of Michigan Law School","Youngstown, OH","Jones, Paul",1880,-80.6495194,41.0997803
"310",1206,"Jones","Warren","Leroy",1895,"Gordon","NE","M","White","University of Denver College of Law","Gordon, NE","Jones, Warren",1890,-102.2037736,42.8027753
"311",1211,"Joyce","Matthew","M.",1877,"Emmetsburg","IA","M","White","University of Michigan Law School","Emmetsburg, IA","Joyce, Matthew",1870,-94.6830357,43.1127427
"312",1220,"Kalbfleisch","Girard","Edward",1899,"Piqua","OH","M","White","Ohio Northern University, Warren G. Harding College of Law","Piqua, OH","Kalbfleisch, Girard",1890,-84.2424449,40.1447732
"313",1221,"Kalodner","Harry","Ellis",1896,"Philadelphia","PA","M","White","University of Pennsylvania Law School","Philadelphia, PA","Kalodner, Harry",1890,-75.163789,39.952335
"314",1232,"Kaufman","Samuel","Hamilton",1893,"New York","NY","M","White","New York University School of Law","New York, NY","Kaufman, Samuel",1890,-74.0059413,40.7127837
"315",1237,"Keech","Richmond","Bowling",1896,"Washington","DC","M","White","Georgetown College Law School (now Georgetown University Law Center)","Washington, DC","Keech, Richmond",1890,-77.0368707,38.9071923
"316",3307,"Keefe","William","John",1873,"Clinton","IA","M","White","University of Iowa College of Law","Clinton, IA","Keefe, William",1870,-90.1887379,41.8444735
"317",1239,"Keeling","Walter","Angus",1873,"Kosse","TX","M","White","University of Texas School of Law","Kosse, TX","Keeling, Walter",1870,-96.6319231,31.3076774
"318",1247,"Keller","Benjamin","Franklin",1857,"Boalsburg","PA","M","White","Pennsylvania State College","Boalsburg, PA","Keller, Benjamin",1850,-77.7924992,40.7756184
"319",1253,"Kennamer","Charles","Brents",1874,"Marshall County","AL","M","White","Georgetown College (now Georgetown University)","Marshall County, AL","Kennamer, Charles",1870,-86.3376761,34.3652297
"320",1255,"Kennamer","Franklin","Elmore",1879,"Kennamer Cove","AL","M","White","Read law","Kennamer Cove, AL","Kennamer, Franklin",1870,-86.2574446,34.5881313
"321",1258,"Kennedy","Harold","Maurice",1895,"Brooklyn","NY","M","White","City College of New York","Brooklyn, NY","Kennedy, Harold",1890,-73.9441579,40.6781784
"322",1259,"Kennedy","Thomas","Blake",1874,"Commerce","MI","M","White","Franklin College, New Athens, Ohio","Commerce, MI","Kennedy, Thomas",1870,-83.4882347,42.5750853
"323",1260,"Kennerly","Thomas","Martin",1874,"Lee County","TX","M","White","Read law","Lee County, TX","Kennerly, Thomas",1870,-96.9638624,30.2967161
"324",1264,"Kenyon","William","Squire",1869,"Elyria","OH","M","White","Grinnell College","Elyria, OH","Kenyon, William",1860,-82.1076486,41.3683798
"325",1266,"Kerner","Otto"," ",1884,"Chicago","IL","M","White","Lake Forest University","Chicago, IL","Kerner, Otto",1880,-87.6297982,41.8781136
"326",1269,"Kerrigan","Frank","Henry",1868,"Contra Costa County","CA","M","White","Read law","Contra Costa County, CA","Kerrigan, Frank",1860,-121.9017954,37.8534093
"327",1278,"Killits","John","Milton",1858,"Lithopolis","OH","M","White","Williams College","Lithopolis, OH","Killits, John",1850,-82.8062848,39.8028415
"328",3308,"Kincheloe","David","Hayes",1877,"Sacramento","KY","M","White","Bowling Green Business College (now Western Kentucky University)","Sacramento, KY","Kincheloe, David",1870,-87.2655531,37.4158783
"329",1279,"King","Alexander","Campbell",1856,"Charleston","SC","M","White","Read law","Charleston, SC","King, Alexander",1850,-79.9310512,32.7764749
"330",1287,"Kirkpatrick","William","Huntington",1885,"Easton","PA","M","White","Lafayette College","Easton, PA","Kirkpatrick, William",1880,-75.2207323,40.688432
"331",1291,"Kloeb","Frank","Le Blond",1890,"Celina","OH","M","White","Ohio State University","Celina, OH","Kloeb, Frank",1890,-84.5702338,40.5489358
"332",1295,"Knappen","Loyal","Edwin",1854,"Hastings","MI","M","White","University of Michigan","Hastings, MI","Knappen, Loyal",1850,-85.2908403,42.6458682
"333",1296,"Knight","John"," ",1871,"Arcade","NY","M","White","University of Rochester","Arcade, NY","Knight, John",1870,-78.4230737,42.5339513
"334",1297,"Knoch","Winfred","George",1895,"Naperville","IL","M","White","DePaul University College of Law","Naperville, IL","Knoch, Winfred",1890,-88.1618829,41.7460695
"335",1298,"Knous","William","Lee",1889,"Ouray","CO","M","White","University of Colorado Law School","Ouray, CO","Knous, William",1880,-107.6714487,38.0227716
"336",1301,"Knox","John","Clark",1881,"Waynesburg","PA","M","White","Waynesburg College","Waynesburg, PA","Knox, John",1880,-80.1792299,39.8964641
"337",1311,"Koscinski","Arthur","A.",1887,"Posen","Poland","M","White","University of Michigan Law School","Posen, Poland","Koscinski, Arthur",1880,16.9251681,52.406374
"338",1324,"LaBuy","Walter","J.",1888,"Dodge County","WI","M","White","DePaul University College of Law","Dodge County, WI","LaBuy, Walter",1880,-88.7108964,43.3994215
"339",1330,"Lamar","Joseph","Rucker",1857,"Cedar Grove","GA","M","White","Bethany College","Cedar Grove, GA","Lamar, Joseph",1850,-82.8820856,32.2501735
"340",1332,"Lambdin","William","Wallace",1861,"Upson County","GA","M","White","University of Georgia","Upson County, GA","Lambdin, William",1860,-84.3121264,32.9047684
"341",1337,"Landis","Kenesaw","Mountain",1866,"Millville","OH","M","White","YMCA Law School (now Northern Kentucky University, Chase College of Law)","Millville, OH","Landis, Kenesaw",1860,-84.6543933,39.3892219
"342",3309,"Lawrence","Charles","Drummond",1878,"North Yarmouth","ME","M","White","New York Law School","North Yarmouth, ME","Lawrence, Charles",1870,-70.2388706,43.85735
"343",1354,"Laws","Bolitha","James",1891,"Washington","DC","M","White","Georgetown College Law School (now Georgetown University Law Center)","Washington, DC","Laws, Bolitha",1890,-77.0368707,38.9071923
"344",2694,"Leahy","Edward","Lawrence",1886,"Bristol","RI","M","White","Georgetown College Law School (now Georgetown University Law Center)","Bristol, RI","Leahy, Edward",1880,-71.2662025,41.6771101
"345",1359,"Leamy","James","Patrick",1892,"West Rutland","VT","M","White","College of the Holy Cross","West Rutland, VT","Leamy, James",1890,-73.0451081,43.5930919
"346",1361,"Leavy","Charles","Henry",1884,"York","PA","M","White","Kansas City School of Law (now University of Missouri-Kansas City School of Law)","York, PA","Leavy, Charles",1880,-76.727745,39.9625984
"347",1365,"Lederle","Arthur","F.",1887,"Leland","MI","M","White","Eastern Michigan College","Leland, MI","Lederle, Arthur",1880,-85.7601797,45.0229612
"348",1367,"Lee","Elmo","Pearce",1882,"Coushatta","LA","M","White","Louisiana State University Law School","Coushatta, LA","Lee, Elmo",1880,-93.3421165,32.0148834
"349",1372,"Leibell","Vincent","L.",1883,"New York","NY","M","White","St. Francis Xavier College","New York, NY","Leibell, Vincent",1880,-74.0059413,40.7127837
